Trash,Dutch,English
,man,man
misschien 359214,misschien ,maybe
laten 353505,laten ,to leave
nooit 350946,nooit ,never
nou 347555,nou ,Well
zei 342913,zei ,said
terug 342296,terug ,back
oké 341155,oké ,Okay
mee 336637,mee ,along
niets 329731,niets ,nothing
iemand 328805,iemand ,someone
komt 313150,komt ,comes
toen 312964,toen ,when
veel 307717,veel ,a lot of
even 305017,even ,for a bit
onze 300608,onze ,our
gewoon 295651,gewoon ,Ordinary
weten 293558,weten ,know
komen 291569,komen ,come
nodig 291351,nodig ,necessary
mensen 290275,mensen ,people
tot 288727,tot ,until
worden 281032,worden ,become
zeggen 278585,zeggen ,say
tijd 278263,tijd ,time
weer 276186,weer ,weather
leven 274544,leven ,to live
twee 269781,twee ,two
net 266915,net ,just
tegen 265256,tegen ,in return for
maken 258350,maken ,to make
uw 257050,uw ,your
zeg 254035,zeg ,say
omdat 252830,omdat ,because
zit 251543,zit ,sit
wordt 250695,wordt ,is becoming
z 249724,z ,Z
hou 247154,hou ,keep
kijk 243303,kijk ,look
heel 243287,heel ,all
wij 242654,wij ,We
altijd 234911,altijd ,always
mag 233769,mag ,allowed
gedaan 233289,gedaan ,done
dood 229213,dood ,dead
zeker 228323,zeker ,Certainly
af 220034,af ,off
jaar 215656,jaar ,year
hun 215211,hun ,their
wilde 214119,wilde ,wild
dag 213062,dag ,day
allemaal 210925,allemaal ,all
jouw 210824,jouw ,your
huis 210552,huis ,house
dacht 210182,dacht ,thought
doet 208207,doet ,do
vader 207641,vader ,father
kunt 204817,kunt ,can
wacht 203442,wacht ,guard
zie 198787,zie ,see 
vrouw 198443,vrouw ,woman
keer 196456,keer ,time
andere 195409,andere ,Others
zoals 195251,zoals ,as
zij 193752,zij ,she
dank 189986,dank ,thanks
anders 189426,anders ,otherwise
geef 189089,geef ,give
waren 188873,waren ,goods
willen 188572,willen ,want
zich 187074,zich ,himself
bedankt 185125,bedankt ,Thank you
één 184315,één ,An
mr 183677,mr ,MR
erg 183563,erg ,terribly
wilt 182672,wilt ,want
praten 179721,praten ,to talk
spijt 179198,spijt ,regret
geld 178884,geld ,money
kon 178838,kon ,could
werk 178658,werk ,work
oh 177930,oh ,Oh
iedereen 176789,iedereen ,everyone
beter 176777,beter ,better
werd 175810,werd ,became
moeder 174794,moeder ,mother
niemand 174437,niemand ,no one
vinden 173290,vinden ,find
staat 173184,staat ,stands
gezien 171287,gezien ,seen
niks 171080,niks ,nothing
binnen 167230,binnen ,inside
zitten 167093,zitten ,to sit
zullen 165002,zullen ,shall
na 162379,na ,after
helpen 162225,helpen ,to help
wist 161677,wist ,knew
vind 159802,vind ,find
genoeg 156685,genoeg ,enough
sorry 153660,sorry ,Sorry
vast 152616,vast ,fixed
elkaar 152602,elkaar ,each other
ging 152470,ging ,went
uur 151811,uur ,o'clock
klaar 151070,klaar ,finished
hele 150708,hele ,whole
neem 149716,neem ,take
leuk 148031,leuk ,nice
natuurlijk 147413,natuurlijk ,Naturally
alle 146723,alle ,all
god 145302,god ,God
maak 144655,maak ,make
lang 144498,lang ,long
kwam 142612,kwam ,came
graag 141828,graag ,Please
hé 141375,hé ,Hey
toe 141284,toe ,ate
drie 141271,drie ,three
zegt 140895,zegt ,say
bedoel 140818,bedoel ,mean
deed 139507,deed ,held
dingen 139324,dingen ,stuff
maakt 138947,maakt ,makes
alsjeblieft 138555,alsjeblieft ,please
eerste 138080,eerste ,first
krijgen 137832,krijgen ,to get
zonder 135995,zonder ,without
steeds 135812,steeds ,still
hallo 134987,hallo ,Hello
houden 134284,houden ,to hold
vertellen 134044,vertellen ,narrate
ziet 133855,ziet ,sees
